视频地址,弹幕地址,弹幕时间,弹幕内容
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 21:04,还是祖国专业
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 20:56,环保！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 20:17,好耶好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 20:48,千万不能让病毒进来
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 20:20,让世界看看什么叫负责
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 20:01,冰蓝球馆！！！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 20:11,漂亮，就该这样！！！大赞！！！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:31,梦回2008，好想回去啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:46,真有安全感
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:31,必须的
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:38,正道的光
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:02,冰壶，第一次看冬奥的项目，觉得蛮有意思的
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:55,打脸了吧前面的
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:04,也就是首都要是省会都承担不起
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:52,好样的！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:57,好事，疫情防控会好做很多
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:20,就等您这句话，足够儿
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:08,干得漂亮
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-02 19:07,没毛病
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2022-01-29 21:58,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2022-01-06 22:58,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2022-01-04 21:12,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-12-20 19:39,好耶！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-12-08 23:52,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-12-08 23:43,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-12-06 21:48,在哪可以买到呢
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-21 22:19,安全才有小钱钱666
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-11-06 12:29,没办法转圈制作制造者疫苗想法了啊
